問題,回答,解説,カテゴリ
"アクバルは北インドの有力勢力をどのように取り込み、帝国支配を安定させたか説明しなさい","ラージプートの王女と結婚し、その王族を高級官僚に登用するなどの融和政策をとった。","","イスラーム世界"
"アクバルが、イスラーム教徒とヒンドゥー教徒などの宗教対立を和らげ、皇帝を中心に帝国の統合を図るために創始した宗教的思想を何というか？","ディーネ＝イラーヒー","","イスラーム世界"
"ナーナクが、偶像崇拝やカースト制を否定し、人々の平等と唯一神への信仰を説いて創始した宗教は？","シク教","","イスラーム世界"
"シク教について説明しなさい","ナーナクが創始した宗教。偶像崇拝やカースト制を否定して人々の平等と唯一神への信仰を説き、ヒンドゥー教のバクティ信仰やイスラームのスーフィズムの影響を受けた。","","イスラーム世界"
"ナーナクに影響を与え、カースト制を批判して宗教・身分を超えた信仰を説いた人物は？","カビール","","イスラーム世界"
"カビールの影響を受け、偶像崇拝やカースト制を否定してシク教を創始した人物は？","ナーナク","","イスラーム世界"
"ヒンドゥー教で、儀礼や身分よりも特定の神への熱烈な信愛による救済を重視する信仰を何というか？","バクティ信仰","","イスラーム世界"
"ムガル帝国で、官僚や軍人に与えられた官位・位階を何というか？","マンサブ","","イスラーム世界"
"ムガル帝国で、官僚にマンサブを与え、その位階に応じた給与と騎兵・騎馬の準備を義務づけた制度を何というか？","マンサブダール制","","イスラーム世界"
"ムガル帝国で、官僚や軍人への給与の代わりとして与えられた土地の徴税権を何というか？","ジャーギール","","イスラーム世界"
"ムガル帝国で、各地の土地支配を担い、農民から地税を徴収して国家に納めた地方領主・徴税請負人を何というか？","ザミンダール","","イスラーム世界"
"マンサブダール制について説明しなさい","官僚や軍人にマンサブという官位を与え、その位階に応じた給与を支給するとともに、騎兵や騎馬の準備を義務づけた制度。給与には現金の代わりにジャーギールと呼ばれる徴税権が与えられることが多かった。","","イスラーム世界"
"ジャーギールとは何か説明しなさい","ムガル帝国で官僚や軍人への給与の代わりに与えられた、一定地域から税収を得る権利。土地そのものの所有権ではない。","","イスラーム世界"
"アクバルは税制と地方統治をどのように整備したか説明しなさい","全国の土地を測量して地税額を定め、各地のザミンダールに徴税を担わせる一方、州県制や官僚機構を整備して中央集権化を進めた。","","イスラーム世界"
"ムガル帝国の4代目君主は？","ジャハーンギール","","イスラーム世界"
"ムガル帝国の5代目君主は？","シャー＝ジャハーン","","イスラーム世界"
"ムガル帝国第4代皇帝で、アクバルの政策をほぼ継承し、安定した統治のもとでインド＝イスラーム文化が発展した人物は？","ジャハーンギール","","イスラーム世界"
"ムガル帝国第5代皇帝で、デカン方面へ支配を拡大し、タージ＝マハルを建立した人物は？","シャー＝ジャハーン","","イスラーム世界"
"シャー＝ジャハーンについて説明しなさい","ムガル帝国第5代皇帝。デカン高原方面へ支配を拡大し、デリーに新都城を建設したほか、亡き王妃ムムターズ＝マハルをしのんでアグラにタージ＝マハルを建立した。","","イスラーム世界"
"シャー＝ジャハーンが、亡き王妃をしのんでアグラに建立した霊廟は？","タージ＝マハル","","イスラーム世界"
"タージ＝マハルについて説明しなさい","シャー＝ジャハーンが、亡き王妃ムムターズ＝マハルをしのんでアグラに建立した霊廟で、インド＝イスラーム建築の最高傑作とされる。","","イスラーム世界"
"アウラングゼーブはどのような経緯で皇帝に即位したか？","兄弟との皇位継承争いに勝利し、父シャー＝ジャハーンをアグラ城に幽閉して即位した。","","イスラーム世界"
"シャー＝ジャハーンをアグラ城に幽閉して皇帝に即位した人物は？","アウラングゼーブ","","イスラーム世界"
"タージ＝マハル建立のきっかけとなったシャー＝ジャハーンの王妃は？","ムムターズ＝マハル","","イスラーム世界"
"ムガル帝国の6代目君主は？","アウラングゼーブ","","イスラーム世界"
"ムガル帝国の領土を最大にした君主は？","アウラングゼーブ","","イスラーム世界"
"アウラングゼーブが治世の大半を費やして征服を進めた地域は？","デカン高原","","イスラーム世界"
"アウラングゼーブについて説明しなさい","ムガル帝国第6代皇帝。デカン高原の征服を進め、インド南端の一部を除くほぼ全インドを支配して帝国を最大領土にしたが、その政策は諸勢力の反発を招き、帝国の分裂・衰退を早めた。","","イスラーム世界"
"アウラングゼーブの宗教政策がムガル帝国の分裂を招いた理由を説明しなさい","厳格なスンナ派政策をとり、ジズヤを復活させ、ヒンドゥー寺院の破壊やシーア派への弾圧を行ったため、ヒンドゥー教徒やシーア派などの反発を招いた。","","イスラーム世界"
"アウラングゼーブ期に、反乱の増加とジャーギール不足によってムガル帝国の支配が弱体化した経緯を説明しなさい","マラーター王国やシク教徒などの反乱が相次ぎ、さらに領土拡大にともなって官僚の数が増加すると、給与として与えるジャーギールが不足して官僚の反発が強まり、各地の領主もムガル帝国から自立していったため。","","イスラーム世界"
"デカン高原にマラーター王国を建て、ムガル帝国に抵抗した人物は？","シヴァージー","","イスラーム世界"
"シヴァージーがデカン高原に建てた国は？","マラーター王国","","イスラーム世界"
"アウラングゼーブ期にパンジャーブ地方でたびたび反乱を起こした宗教勢力は？","シク教徒","","イスラーム世界"
"アウラングゼーブ期にムガル帝国へ強く抵抗した主な勢力を2つ答えなさい","マラーター王国・シク教徒","","イスラーム世界"
"アウラングゼーブの死後、デカン高原で自立してニザーム王国（ハイデラバード王国）を建てた人物は？","アーサフ＝ジャー","","イスラーム世界"
"アウラングゼーブの死後、アーサフ＝ジャーがデカン高原で建てた王国は？","ニザーム王国（ハイデラバード王国）","","イスラーム世界"
"ムガル帝国の弱体化に乗じて、ガンジス川中流域で事実上独立した王国は？","アワド王国（アウド王国）","","イスラーム世界"
"アウラングゼーブの死後、ムガル帝国の弱体化に乗じてパンジャーブ地方で自立した国家は？","シク王国（シク教王国）","","イスラーム世界"
"18世紀、ナーディル＝シャーのもとでインドへ侵入し、デリーを略奪したイランの王朝は？","アフシャール朝","","イスラーム世界"
"ムガル帝国衰退後、南インドで勢力を拡大したヒンドゥー系の王国は？","マイソール王国","","イスラーム世界"
"ムガル帝国衰退後、インドがヨーロッパ勢力の進出に対抗しにくくなった理由を説明しなさい","ムガル帝国の支配がデリー周辺に縮小し、マラーター同盟・マイソール王国・シク王国など各地の勢力に分裂して、インド全体をまとめて抵抗できなくなったため。","","イスラーム世界"
"ヒンドゥー教徒の諸侯が、北インドの大半に勢力を広げるなかで結成した連合は？","マラーター同盟","","イスラーム世界"
"イスラーム文化とヒンドゥー文化が融合して、インドで形成された独自の文化を何というか？","インド＝イスラーム文化","","イスラーム世界"
"イランの細密画（ミニアチュール）とインド絵画が融合して発達した宮廷絵画を何というか？","ムガル絵画","","イスラーム世界"
"ヒンドゥー教で、クリシュナやラーマなどを神の化身として崇拝する信仰を何というか？","ヴィシュヌ信仰","","イスラーム世界"
"宮廷絵画の影響を受け、ヒンドゥー教徒がヴィシュヌ信仰など庶民的・宗教的な題材を描いて発達させた絵画を何というか？","ラージプート絵画","","イスラーム世界"
"北インドの言語にアラビア語・ペルシア語の語彙が取り入れられて成立し、現在のパキスタンの国語となっている言語は？","ウルドゥー語","","イスラーム世界"
"ムガル帝国で、宮廷・行政の公用語として用いられた言語は？","ペルシア語","","イスラーム世界"
"ムガル帝国の初代皇帝が、自らの生涯や征服活動について記した回顧録は？","バーブル＝ナーマ","","イスラーム世界"
"『バーブル＝ナーマ』は何語で書かれたか？","トルコ語（チャガタイ語）","","イスラーム世界"
"アクバルの統治を記録した『アクバル＝ナーマ』を著した廷臣は？","アブル＝ファズル","","イスラーム世界"
"『アクバル＝ナーマ』は何語で書かれたか？","ペルシア語","","イスラーム世界"
"ムガル帝国第3代皇帝の統治を記録し、廷臣アブル＝ファズルが著した歴史書は？","アクバル＝ナーマ","","イスラーム世界"
"17世紀ごろ、ヨーロッパとのインド交易で重要だった代表的商品を4つ答えなさい","香辛料・モスリン・キャラコ・サラサ","","イスラーム世界"
"ムガル帝国の1～6代目君主を全て答えなさい","①バーブル、②フマーユーン、③アクバル、④ジャハーンギール、⑤シャー＝ジャハーン、⑥アウラングゼーブ","","イスラーム世界"
"ムハンマドの言行や慣行を後世のイスラーム教徒が伝承・記録したものを何というか？","ハディース","","イスラーム世界"
"9〜10世紀、年代記形式の世界史『預言者たちと諸王の歴史』を編纂したイスラーム世界の歴史家は？","タバリー","","イスラーム世界"
"タバリーについて説明しなさい","9〜10世紀に活躍したイスラーム世界の歴史家で、年代記形式の世界史『預言者たちと諸王の歴史』を編纂した人物。","","イスラーム世界"
"『世界史序説』を著し、都市民と遊牧民の関係などから王朝興亡の法則性を論じた14世紀のイスラーム世界の歴史家は？","イブン＝ハルドゥーン","","イスラーム世界"
"イブン＝ハルドゥーンについて説明しなさい","14世紀のイスラーム世界を代表する歴史家で、『世界史序説』を著し、都市民と遊牧民の関係を中心に王朝興亡の歴史に法則性があると論じた。","","イスラーム世界"
"イブン＝ハルドゥーンが著し、王朝興亡の歴史に法則性があることを論じた著作は？","世界史序説","","イスラーム世界"
"『世界史序説』について説明しなさい","イブン＝ハルドゥーンが著した歴史書で、都市民と遊牧民の関係などから王朝の興亡を分析し、歴史には一定の法則性があると論じた。","","イスラーム世界"
"セルジューク朝期にニザーミーヤ学院で教え、スンナ派神学を体系化するとともにスーフィズムをイスラーム神学に取り入れた学者は？","ガザーリー","","イスラーム世界"
"ガザーリーについて説明しなさい","セルジューク朝期にニザーミーヤ学院の教授を務め、スンナ派神学を体系化し、スーフィズムを正統的なイスラーム信仰と結びつけた神学者。","","イスラーム世界"
"『大旅行記（三大陸周遊記）』で知られ、北アフリカ・西アジア・インド・中国方面など各地を旅行した14世紀のイスラーム世界の旅行家は？","イブン＝バットゥータ","","イスラーム世界"
"イブン＝バットゥータについて説明しなさい","14世紀のモロッコ出身の旅行家・ウラマー。イスラーム世界を中心にアフリカ・インド・中国方面など広い地域を旅行し、その体験は『大旅行記（三大陸周遊記）』としてまとめられた。","","イスラーム世界"
"イブン＝バットゥータの各地での旅行体験をまとめた旅行記は？","大旅行記（三大陸周遊記）","","イスラーム世界"
"『大旅行記（三大陸周遊記）』について説明しなさい","14世紀の旅行家イブン＝バットゥータの広範な旅行体験をまとめた旅行記で、当時のイスラーム世界をはじめアフリカ・インド・中国方面の社会や文化を伝える重要な記録。","","イスラーム世界"
"サーマーン朝で活躍し、『医学典範』を著すとともにアリストテレス哲学の研究でも知られる学者は？","イブン＝シーナー（アヴィケンナ）","","イスラーム世界"
"イブン＝シーナー（アヴィケンナ）について説明しなさい","サーマーン朝で活躍した哲学者・医学者。ギリシア・アラビア医学を集大成した『医学典範』を著し、アリストテレス哲学の研究でも大きな功績を残した。","","イスラーム世界"
"イブン＝シーナーがギリシア・アラビア医学を集大成して著した医学書は？","医学典範","","イスラーム世界"
"『医学典範』について説明しなさい","イブン＝シーナーがギリシア・アラビア医学を集大成した医学書。のちにラテン語に翻訳され、中世ヨーロッパでも医学の重要な教科書として広く用いられた。","","イスラーム世界"
"ムワッヒド朝の時代に活躍し、アリストテレス哲学の注釈で知られ、その研究が西欧のスコラ学にも大きな影響を与えた哲学者は？","イブン＝ルシュド（アヴェロエス）","","イスラーム世界"
"イスラーム哲学者によるアリストテレス研究などの影響を受け、中世ヨーロッパで発展したキリスト教神学・哲学を何というか？","スコラ学","","イスラーム世界"
"インド数字をもとにイスラーム世界で発達し、のちにヨーロッパへ伝わった数字を何というか？","アラビア数字","","イスラーム世界"
"イスラーム世界の数学発展に大きく貢献した、インドから伝えられた重要な数学的概念は？","ゼロの概念","","イスラーム世界"
"9世紀のイスラーム世界で代数学を体系化し、「アルゴリズム」の語源にもなった数学者は？","フワーリズミー","","イスラーム世界"
"フワーリズミーについて説明しなさい","9世紀のイスラーム世界で活躍した数学者・天文学者。インド数字を用いた計算法を紹介し、代数学を体系化した。「アルゴリズム」の語源となった人物としても知られる。","","イスラーム世界"
"ペルシア文学を代表する民族叙事詩『シャー＝ナーメ（王の書）』を著したイラン人詩人は？","フィルドゥシー","","イスラーム世界"
"フィルドゥシーが著し、古代イランの歴史や伝説を描いた大民族叙事詩は？","シャー＝ナーメ（王の書）","","イスラーム世界"
"『シャー＝ナーメ（王の書）』について説明しなさい","フィルドゥシーが著したペルシア文学を代表する大民族叙事詩で、古代イランの神話・伝説からササン朝滅亡までを描いた作品。","","イスラーム世界"
"セルジューク朝期に活躍し、『ルバイヤート』で刹那的な人生観を詠んだイラン人詩人は？","ウマル＝ハイヤーム","","イスラーム世界"
"ウマル＝ハイヤームが著した四行詩集は？","ルバイヤート","","イスラーム世界"
"放浪詩人サーディーが著した、ペルシア文学を代表する作品は？","ばら園","","イスラーム世界"
"ペルシア語の説話集などをもとに発展し、各地の物語を取り込みながら形成された説話集は？","千夜一夜物語（アラビアン＝ナイト）","","イスラーム世界"
"『千夜一夜物語（アラビアン＝ナイト）』について説明しなさい","ペルシア系の説話などをもとにアラビア語で発展し、インド・イラン・アラブなど各地の物語を取り込んで形成された説話集。ハールーン＝アッラシードが登場する物語でも知られる。","","イスラーム世界"
"『千夜一夜物語』にも登場し、アッバース朝の最盛期を代表するカリフは？","ハールーン＝アッラシード","","イスラーム世界"
"ウマイヤ朝の時代、イェルサレムでムハンマドが昇天したとされる聖なる岩を覆うために建てられた建築物は？","岩のドーム","","イスラーム世界"
"アルハンブラ宮殿について説明しなさい","イベリア半島のナスル朝がグラナダに建てた宮殿で、「赤い城」として知られ、華麗なアラベスク装飾をもつイスラーム建築の傑作。","","イスラーム世界"
"16世紀以降のオスマン帝国・サファヴィー朝・ムガル帝国について、それぞれを代表する建築物と、それを建てた君主を答えなさい","スレイマン＝モスク：スレイマン1世、イマームのモスク（王のモスク）：アッバース1世、タージ＝マハル：シャー＝ジャハーン","","イスラーム世界"
"モスク内部で、メッカの方角を示す壁のくぼみを何というか？","ミフラーブ","","イスラーム世界"
"イスラーム美術で、植物の茎や葉などをモチーフに反復的な幾何学模様として発達した装飾を何というか？","アラベスク","","イスラーム世界"
"モスクの周囲に建てられ、礼拝への呼びかけなどに用いられる塔を何というか？","ミナレット","","イスラーム世界"
"奴隷王朝の建国者アイバクが、デリー近郊に建設を始めた巨大な塔は？","クトゥブ＝ミナール","","イスラーム世界"
"クトゥブ＝ミナールの建設を始めた、奴隷王朝の建国者は？","アイバク","","イスラーム世界"
